index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
70610,0.9359999999999999,['Elise Ryen'],0.16399999999999998,168250,0.00569,0,7map9ciIR1obUQ4dOKo9IY,0.934,9,0.0954,-35.348,1,Kritagya,67,2/21/2020,0.0445,73.934,0.163,2020,0,23.53426999148529
126137,0.521,['Kehlani'],0.43,165009,0.703,1,6TrdeNEgbKuBqIToRfdWMY,0.0,2,0.132,-3.6839999999999997,1,Everybody Business,72,5/8/2020,0.22899999999999998,45.78,0.435,2020,0,23.549188168725163
39803,0.996,['Binaural Beats Sleep'],0.39799999999999996,118387,0.009559999999999999,0,3md9ih5DcuqhYO6FVs6KDs,0.988,2,0.111,-36.329,1,Binaural Beats (REM Sleep),56,11/29/2016,0.0554,69.067,0.35700000000000004,2016,0,23.672891948378954
106920,0.968,['Pink Noise'],0.105,300188,0.0328,0,52UFaisgZzjLPyuhf01Amo,0.8740000000000001,1,0.11199999999999999,-33.814,1,Pink Noise for Sleeping,64,5/24/2016,0.0748,78.38600000000001,0.013999999999999999,2016,0,23.744085686040325
15741,0.9640000000000001,['Deep Sleep Music Collective'],0.204,120033,0.00297,0,1SPBJ5ol7xYyzxt1Gs0MTD,0.9840000000000001,1,0.111,-36.056,1,Sleeping Music (Piano Sleep Music),62,11/7/2016,0.0445,62.848,0.0396,2016,0,23.811951255974908
116435,0.138,['Rain Sound Studio'],0.24,174660,0.998,0,18aGDOpPblt4w29uE9NMbd,0.997,11,0.945,-23.585,0,Under Shelter Rain,69,1/9/2017,0.051,46.36600000000001,1e-05,2017,0,23.82831886634315
15820,0.955,['Deep Sleep Music Collective'],0.182,118491,0.00248,0,4dKkvmCP8VYyPzyk3TgfQb,0.977,4,0.0879,-35.658,1,Calm Sounds for Sleep,61,11/7/2016,0.0474,74.752,0.0609,2016,0,24.067356251703774
32060,0.0412,['Wonderful Escape'],0.135,231594,0.797,0,0ob9Ks5Tcn7nzfBefhEn7v,0.845,1,0.376,-31.858,1,Thunder From Under the Tree,66,9/4/2019,0.41700000000000004,82.119,0.026000000000000002,2019,0,24.106406714730934
47968,0.987,['Leah Day'],0.18600000000000003,178000,0.0113,0,6JMuZsTQprhBrbywStSwer,0.963,10,0.1,-36.853,0,Snowdonia,66,10/18/2019,0.0388,64.657,0.154,2019,0,24.314161686680155
23744,0.9159999999999999,['Deep Sleep Music Collective'],0.18899999999999997,119510,0.00301,0,7xsY4hfbyEGPAxzjCL1R5b,0.8640000000000001,2,0.091,-36.57,1,Glowing Sunset,61,11/7/2016,0.0479,62.691,0.0375,2016,0,24.34165803938025
23741,0.9540000000000001,['Deep Sleep Music Collective'],0.136,131840,0.000553,0,2ez01ZsOmyG4m31vxJuQDx,0.9,6,0.11199999999999999,-35.699,1,Music to Sleep By,61,11/7/2016,0.0458,76.03699999999999,0.0541,2016,0,24.520844564162825
